序号,竞赛名称,官网地址,主办方/备注
1,中国国际大学生创新大赛,https://cy.ncss.cn,主办：教育部等；备注：原名“互联网+”大学生创新创业大赛，报名与赛事通知均在“全国大学生创业服务网”
2,“挑战杯”全国大学生课外学术科技作品竞赛,https://www.tiaozhanbei.net,主办：共青团中央、中国科协、教育部、中国社会科学院、全国学联；备注：与创业计划大赛共用同一官网
3,“挑战杯”中国大学生创业计划大赛,https://www.tiaozhanbei.net,主办：共青团中央、中国科协、教育部、中国社会科学院、全国学联；备注：与学术科技作品竞赛共用同一官网
4,全国大学生数学竞赛,https://www.cmathc.org.cn,主办：中国数学会；备注：官网为“大学生数学竞赛网”，含分区赛与决赛通知
5,中国大学生物理学术竞赛,https://pt.nankai.edu.cn,主办：中国大学生物理学术竞赛组委会；备注：无独立域名，官网由发起单位南开大学物理科学学院维护
6,ACM-ICPC 国际大学生程序设计竞赛,https://icpc.global,主办：ICPC Foundation；备注：赛区制，区域赛与全球总决赛信息见官网 Regionals 栏目
7,全国大学生数学建模竞赛,http://www.mcm.edu.cn,主办：中国工业与应用数学学会；备注：官网含赛题、评奖与异议流程
8,全国大学生电子设计竞赛,http://nuedc.xjtu.edu.cn,主办：教育部高等教育司、工业和信息化部人事教育司；备注：西安交通大学承办，官网含赛区划分与报名
9,全国大学生机械创新设计大赛,https://umic.moocollege.com,主办：教育部高等学校机械基础课程教学指导委员会；备注：官网托管在摩课云（umic），页面为 JS 渲染，需浏览器打开
10,全国大学生智能汽车竞赛,https://www.smartcar.zone,主办：教育部高等学校自动化类专业教学指导委员会、中国自动化学会；备注：官网含章程与报名入口（enroll.smartcar.zone）
11,全国大学生机器人大赛（CURC）,https://www.curc.cn,主办：全国大学生机器人大赛组织委员会；备注：curc.cn 为大赛总官网，覆盖 RoboMaster/ROBOCON 两大赛项；ROBOTAC 单项赛另见 robotac.cn
12,全国大学生光电设计竞赛,https://gd.moocollege.com,主办：中国光学学会；备注：官网托管在摩课云（gd），页面为 JS 渲染
13,全国大学生信息安全竞赛,http://www.ciscn.cn,主办：教育部高等学校网络空间安全专业教学指导委员会；备注：官网含报名、作品提交与决赛信息
14,“外研社·国才杯”“理解当代中国”全国大学生外语能力大赛,https://ucc.fltrp.com,主办：外语教学与研究出版社（外研社）；备注：多语种、多赛项统一报名平台
15,全国大学生电子商务“创新、创意及创业”挑战赛,https://www.3chuang.net,主办：教育部高等学校电子商务类专业教学指导委员会；备注：官网报名，通知同步微信公众号“电子商务三创赛”
16,全国大学生节能减排社会实践与科技竞赛,http://www.jienengjianpai.org,主办：教育部高等教育司（竞赛委员会）；备注：高校轮流承办（如“大工能动杯”），官网发通知与获奖名单
17,中国大学生工程实践与创新能力大赛,http://www.gcxl.edu.cn,主办：教育部高等教育司指导、教育部高等学校工程训练教学指导委员会主办；备注：官网域名沿用旧赛名“工程训练综合能力竞赛”，站内已发工创赛通知
18,全国大学生创新创业训练计划年会展示,http://gjcxcy.bjtu.edu.cn,主办：教育部高等教育司；备注：无独立官网，依托“国家级大学生创新训练计划平台”（北京交通大学托管），仅支持 http 访问
19,“西门子杯”中国智能制造挑战赛,http://www.siemenscup-cimc.org.cn,主办：中国仿真学会、西门子（中国）有限公司；备注：官网含报名与成绩查询
20,全国大学生先进成图技术与产品信息建模创新大赛,http://www.chengtudasai.com,主办：大赛组委会、中国图学学会制图技术专业委员会/产品信息建模专业委员会；备注：即“高教杯”，官网含通知与资料下载
21,中国大学生计算机设计大赛,https://jsjds.blcu.edu.cn,主办：中国大学生计算机设计大赛组委会；备注：北京语言大学建设维护，含各决赛区信息
22,全国大学生市场调查与分析大赛,http://www.china-cssc.org,主办：中国商业统计学会；备注：无独立官网，大赛通知与报名在学会官网的“调查分析技能大赛”专栏
23,中国大学生服务外包创新创业大赛,https://fwwb.org.cn,主办：教育部、商务部、无锡市人民政府；备注：官网含赛区划分与报名登录入口
24,中国高校计算机大赛-大数据挑战赛、团体程序设计天梯赛、移动应用创新赛、网络技术挑战赛、人工智能创意赛,http://www.c4best.cn,主办：全国高等学校计算机教育研究会等；备注：官网托管在摩课云（JS 渲染）；赛道入口 net.c4best.cn（网络技术挑战赛）、gplt.patest.cn（天梯赛）、appcontest.net（移动应用创新赛）、algo.weixin.qq.com（大数据挑战赛）
25,中国机器人大赛暨RoboCup机器人世界杯中国赛,https://www.caa.org.cn,主办：中国自动化学会；备注：报名系统 robotreg.drct-caa.org.cn；原独立站 drct-caa.org.cn 当前不可达
